SEQ_EQUIPE;UF;REGIAO;TIPO;CONFORME
2514524;BA;Nordeste;EMAP;False
2517779;PR;Sul;EMAP-R;True
2489864;MG;Sudeste;EMAP-R;False
2489791;MG;Sudeste;EMAD II;True
2207370;PA;Norte;EMAP;True
2522535;MG;Sudeste;EMAP-R;True
1530372;PI;Nordeste;EMAD I;True
1539930;PI;Nordeste;EMAP;True
2402955;MG;Sudeste;EMAD II;True
2402963;MG;Sudeste;EMAP;True
2516438;MG;Sudeste;EMAP;False
1515780;MT;Centro-Oeste;EMAD I;True
1515837;MT;Centro-Oeste;EMAP;True
2521733;GO;Centro-Oeste;EMAD II;True
2530767;RJ;Sudeste;EMAD I;False
2518325;AM;Norte;EMAD I;False
2426080;PA;Norte;EMAD II;True
2426102;PA;Norte;EMAP;True
2505037;MA;Nordeste;EMAP;True
2508001;PB;Nordeste;EMAP-R;True
152803;PE;Nordeste;EMAP;True
2533375;SP;Sudeste;EMAP-R;True
2522322;PB;Nordeste;EMAP-R;True
2524872;MG;Sudeste;EMAP-R;True
2526050;PB;Nordeste;EMAP-R;True
2523949;SP;Sudeste;EMAP-R;True
2511878;MG;Sudeste;EMAP-R;False
2500264;MA;Nordeste;EMAD I;True
471461;DF;Centro-Oeste;EMAD I;True
2500256;MA;Nordeste;EMAD I;True
2487861;RS;Sul;EMAD I;True
2489090;CE;Nordeste;EMAP;True
2524287;PB;Nordeste;EMAP-R;True
2530953;MG;Sudeste;EMAP;False
1475894;SP;Sudeste;EMAD I;False
2522810;MG;Sudeste;EMAD II;False
2522829;MG;Sudeste;EMAP;False
2440792;RJ;Sudeste;EMAP;True
1700693;CE;Nordeste;EMAD I;False
2526654;MG;Sudeste;EMAP-R;False
2536617;SP;Sudeste;EMAD I;True
1591207;SP;Sudeste;EMAD I;True
2451174;BA;Nordeste;EMAD II;False
2525593;AM;Norte;EMAD II;True
2524945;MG;Sudeste;EMAP-R;True
2540444;PB;Nordeste;EMAP-R;False
2524333;SC;Sul;EMAD I;True
2524368;SC;Sul;EMAP;True
2216299;MT;Centro-Oeste;EMAP;True
2524988;BA;Nordeste;EMAP-R;True
2518562;MA;Nordeste;EMAP;True
2395975;PR;Sul;EMAP;True
2538385;SP;Sudeste;EMAD I;True
2253402;SP;Sudeste;EMAD I;False
2533081;RJ;Sudeste;EMAD I;False
2525461;PB;Nordeste;EMAP-R;False
2533073;MG;Sudeste;EMAP-R;True
1525727;RS;Sul;EMAD I;False
2525488;PB;Nordeste;EMAP-R;True
2527669;CE;Nordeste;EMAD II;True
2527677;CE;Nordeste;EMAP;True
2531801;PB;Nordeste;EMAP-R;False
2533901;SP;Sudeste;EMAP-R;False
2528193;PI;Nordeste;EMAP-R;True
2511967;PB;Nordeste;EMAP-R;False
2528711;AL;Nordeste;EMAD I;False
2529076;PA;Norte;EMAD I;False
2540673;PR;Sul;EMAP-R;True
2250217;SP;Sudeste;EMAD II;True
2530449;RN;Nordeste;EMAP-R;False
2536145;BA;Nordeste;EMAP-R;True
2526778;MG;Sudeste;EMAP-R;True
2540061;MA;Nordeste;EMAP-R;True
2225425;BA;Nordeste;EMAD II;True
2525585;PB;Nordeste;EMAP-R;True
2531755;SP;Sudeste;EMAP-R;True
2536994;SP;Sudeste;EMAP-R;False
2525828;SP;Sudeste;EMAP-R;True
2533545;RO;Norte;EMAD II;True
2536986;SP;Sudeste;EMAD II;False
1709755;RJ;Sudeste;EMAP;True
2534762;SE;Nordeste;EMAP-R;False
2520370;MG;Sudeste;EMAP-R;True
2510715;PB;Nordeste;EMAP-R;False
1566334;AL;Nordeste;EMAD II;True
1566326;AL;Nordeste;EMAP;True
1584413;DF;Centro-Oeste;EMAD I;True
1526138;MA;Nordeste;EMAP;True
1526111;MA;Nordeste;EMAD I;True
184748;BA;Nordeste;EMAD I;True
1707388;BA;Nordeste;EMAP;True
1707361;BA;Nordeste;EMAD I;False
1567888;MT;Centro-Oeste;EMAD II;True
383171;PR;Sul;EMAD I;False
383317;PR;Sul;EMAD I;False
1637738;RO;Norte;EMAD I;False
2292386;GO;Centro-Oeste;EMAD II;True
2244217;PB;Nordeste;EMAD II;False
2167956;MG;Sudeste;EMAD II;True
2513781;PA;Norte;EMAD II;True
2513803;PA;Norte;EMAP;True
1555537;MA;Nordeste;EMAD I;True
2228580;RS;Sul;EMAD II;True
1585878;MA;Nordeste;EMAD I;True
1577298;MA;Nordeste;EMAP;True
1689606;MS;Centro-Oeste;EMAD I;True
1485199;AL;Nordeste;EMAD I;True
2251604;BA;Nordeste;EMAP;True
275565;MG;Sudeste;EMAD I;True
1511769;SP;Sudeste;EMAD I;False
1638785;CE;Nordeste;EMAD I;True
1652214;CE;Nordeste;EMAP;True
1484761;MG;Sudeste;EMAD I;True
1484788;MG;Sudeste;EMAP;True
1517694;PI;Nordeste;EMAD II;True
1517821;PI;Nordeste;EMAP;True
1498339;PI;Nordeste;EMAP;True
1601466;CE;Nordeste;EMAD II;True
2491737;MG;Sudeste;EMAP-R;False
1552139;MG;Sudeste;EMAP;True
276375;MG;Sudeste;EMAP;True
1483870;SP;Sudeste;EMAD I;False
1480170;RJ;Sudeste;EMAP;True
1480189;RJ;Sudeste;EMAD I;False
2493659;PB;Nordeste;EMAP-R;False
1656643;MG;Sudeste;EMAD I;False
1620193;CE;Nordeste;EMAD I;False
1620290;CE;Nordeste;EMAP;True
50687;MA;Nordeste;EMAD I;True
1619829;RJ;Sudeste;EMAD I;False
1619845;RJ;Sudeste;EMAP;True
2248735;PE;Nordeste;EMAD II;False
1510347;SC;Sul;EMAD I;True
1651188;MS;Centro-Oeste;EMAD I;True
1682571;GO;Centro-Oeste;EMAD II;True
1682598;GO;Centro-Oeste;EMAP;True
470899;DF;Centro-Oeste;EMAD I;True
1696742;PB;Nordeste;EMAP;True
1696734;PB;Nordeste;EMAD II;True
2207354;SE;Nordeste;EMAP;True
2220059;MG;Sudeste;EMAP;True
1682148;RJ;Sudeste;EMAD I;True
1565257;BA;Nordeste;EMAD II;True
1709453;MG;Sudeste;EMAD I;True
1701533;RS;Sul;EMAD II;True
1698672;BA;Nordeste;EMAD I;True
1698680;BA;Nordeste;EMAP;True
1709224;MG;Sudeste;EMAD II;True
1579843;MG;Sudeste;EMAP;True
1486039;SP;Sudeste;EMAD I;True
2263041;BA;Nordeste;EMAD II;True
1646788;PA;Norte;EMAD I;False
1646842;PA;Norte;EMAP;True
1589849;MG;Sudeste;EMAD I;True
1676245;MG;Sudeste;EMAD I;True
1676261;MG;Sudeste;EMAP;True
240133;MG;Sudeste;EMAD I;True
240125;MG;Sudeste;EMAD I;True
2113147;RS;Sul;EMAD I;True
1709852;MG;Sudeste;EMAP;False
1706772;BA;Nordeste;EMAD II;True
1706780;BA;Nordeste;EMAP;True
